Target,<F>(raw),σ_F(raw),<ΔF>(raw),σ_ΔF(raw),<F>(unbinned),<F>(6hr),<F>(12hr),σ_F(unbinned),σ_F(6hr),σ_F(12hr),<ΔF>(unbinned) [*10^-2],<ΔF>(6hr),<ΔF>(12hr),σ_ΔF(unbinned),σ_ΔF(6hr),σ_ΔF(12hr),$log(σ^2_NXS(unbinned)),$log(err(σ^2_NXS)(unbinned)),$log(σ^2_NXS(6hr)),$log(err(σ^2_NXS)(6hr)),$log(σ^2_NXS(12hr)),$log(err(σ^2_NXS)(12hr)),F_var(unbinned),err(F_var)(unbinned) [*10^-2],F_var(6hr),err(F_var)(6hr) [*10^-2],F_var(12hr),err(F_var)(12hr) [*10^-2],"τ(inc,days)","Δt(inc,days)","τ(dec,days)","Δt(dec,days)",χ^2 [*10^3],dof [*10^3],χ^2/dof
PKS0310+013,3.1313,0.8228,-0.0089,1.2303,3.131,2.7896,2.9102,0.8192,0.8957,0.9171,-0.9399,0.0074,-0.0159,1.2415,0.3541,0.2834,-2.0088,-2.39,-2.2249,-2.7147,-2.2865,-2.39,0.099,2.0578,0.0772,1.2494,0.0719,1.3249,0.1211,0.1042,0.1128,0.1042,0.9806,0.868,1.1297
PKS0403-13,29.6858,0.7488,-0.0061,0.9203,29.6701,29.4444,29.5097,0.7288,0.7702,0.7551,-0.6227,-0.0097,-0.004,0.9371,0.3005,0.1813,-3.9053,-4.5434,-3.9291,-4.7595,-3.9432,-4.5434,0.0112,0.1283,0.0108,0.0802,0.0107,0.0782,21.8012,2.2708,22.7528,2.3541,1.2897,1.047,1.2318
PKS0406-127,-18.4166,0.685,0.0002,0.9253,1.8729,1.9016,2.0193,0.6834,0.6595,0.6665,0.0237,-0.0047,-0.0122,0.9289,0.3556,0.0743,,-2.1784,,-2.7106,,-2.1784,,,,,,,0.0058,0.0208,0.0042,0.0208,0.9208,1.081,0.8518
WISEJ032613.94+022514.6,60.2854,1.1406,-0.0009,1.4314,60.287,59.9628,60.0289,1.1526,0.9771,1.1398,-0.1046,0.0236,0.0728,1.4377,0.5296,0.0836,-4.2281,-4.7828,-4.1156,-4.9405,-4.1464,-4.7828,0.0077,0.1072,0.0088,0.0655,0.0084,0.0654,0.2007,0.0208,0.2039,0.0208,0.9799,0.806,1.2158
2MASXJ11255199-0742215,25.4551,1.0531,0.0098,1.2573,25.4603,24.8222,24.7845,1.0453,0.8051,0.8737,0.9315,0.0284,0.0493,1.2625,0.4468,0.337,-3.2778,-4.0814,-3.1948,-4.1936,-3.1949,-4.0814,0.023,0.1805,0.0253,0.1267,0.0253,0.1234,16.9926,3.1042,13.1718,2.1667,1.2891,0.936,1.3772
NGC1068,0.0073,0.2125,0.0006,0.2427,0.6971,0.6466,0.6616,0.214,0.1517,0.1787,0.0538,0.0047,0.0075,0.2452,0.0802,0.0001,-1.4603,-2.389,-1.5813,-2.5361,-1.6004,-2.389,0.1861,1.0968,0.1619,0.8985,0.1584,1.0044,0.1671,0.125,0.1654,0.125,1.4007,0.859,1.6306
PKS0506-61,143.0629,1412.5818,0.0089,0.5424,154.3035,76.3655,77.645,1466.5435,2.2483,0.74,1.7217,0.1982,0.3812,0.7838,0.3417,0.4222,-0.7666,-4.6464,-0.7562,-4.6077,-0.7579,-4.6464,0.4137,0.0027,0.4187,0.0029,0.4179,0.003,0.5029,0.0208,0.5669,0.0208,255739.5264,11.54,22161.1375
PKS0506-61 sectors 1+2+3,74.7718,0.8788,-0.0046,0.4781,192.6974,193.053,192.9804,0.4201,0.4467,0.5534,-0.2302,-0.0071,-0.0075,0.4774,0.1785,0.1179,-5.8371,-6.9137,-5.7753,-7.0218,-5.7719,-6.9137,0.0012,0.0051,0.0013,0.0037,0.0013,0.0036,144.5337,1.3333,325.0052,2.4375,4.7879,3.539,1.3529
PKS0506-61 sectors 5+6+7,135.9145,914.0556,0.0318,0.5069,183.8184,183.9068,183.8581,0.3825,0.3673,0.3146,-0.0821,-0.0014,-0.0,0.4953,0.152,0.1256,-6.598,-6.9318,-6.3318,-7.2111,-6.3519,-6.9318,0.0005,0.0116,0.0007,0.0045,0.0007,0.0043,8.6731,0.0833,4.164,0.0417,3.2683,3.036,1.0765
PKS0506-61 sectors 8+9+10,236.8527,4.4453,0.026,0.5477,347.5063,347.4565,347.5469,0.4,0.7969,0.8171,0.079,0.0181,0.0111,0.5394,0.198,0.1199,-6.0015,-7.194,-6.2652,-7.4225,-6.3681,-7.194,0.001,0.0032,0.0007,0.0026,0.0007,0.0031,50.3463,0.3958,20.7123,0.1458,3.5331,2.589,1.3646
PKS0506-61 sectors 11+12+13,51.7127,8.2401,-0.0045,0.6554,137.6517,137.2053,137.1605,0.6525,0.4882,0.7155,-0.173,0.0068,0.007,0.6423,0.2036,0.1987,-5.1939,-6.2561,-5.0939,-6.3028,-5.0927,-6.2561,0.0025,0.011,0.0028,0.0088,0.0028,0.0081,125.7573,1.5622,172.62,2.2917,6.0902,3.696,1.6478
